datetime,solar_mwh_raw,wind_mwh_raw,renewable_mwh_raw,load_mw_raw,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,shortwave_radiation,wind_speed_10m,wind_direction_10m,date,hour,hour_sin,hour_cos,doy_sin,doy_cos,wind_direction_sin,wind_direction_cos,renewable_lag_1h,renewable_lag_24h,renewable_rolling_mean_24h,renewable_rolling_std_24h,forecast_renewable_raw_mwh,sigma_u_raw_mwh,renewable_scaled_mw,load_scaled_mw,forecast_renewable_scaled_mw,sigma_u_scaled_mw,sigma_heuristic_scaled_mw
2025-03-25 00:00:00,0.000368,4.533931,4.534299,52520.36816408333,18.4,48,0.0,0,0.0,32.0,227,2025-03-25,0,0.0,1.0,0.9922222094179323,0.12447926388678915,-0.7313537016191701,-0.6819983600624989,3.223421,1.401668,80.65437858333333,99.59039268782527,3.0354160232343688,19.891061941604,3.436962661912349,170.59731033857014,2.30082125930094,15.077267114294557,0.230082125930094
2025-03-25 01:00:00,0.001104,2.682984,2.684088,50700.39746108333,18.1,48,0.0,0,0.0,30.5,225,2025-03-25,1,0.25881904510252074,0.9659258262890683,0.9922222094179323,0.12447926388678915,-0.7071067811865475,-0.7071067811865477,4.534299,1.14814,80.784904875,99.48400149985017,2.342363129963921,20.972049730901364,2.034517405510089,164.6856589606363,1.7754926656416217,15.89664728084251,0.17754926656416217
2025-03-25 02:00:00,0.000444,2.581946,2.5823899999999997,50836.152994916665,17.9,47,0.0,0,0.0,29.4,224,2025-03-25,2,0.49999999999999994,0.8660254037844387,0.9922222094179323,0.12447926388678915,-0.6946583704589974,-0.7193398003386511,2.684088,1.078272,80.84890270833333,99.43102388113134,1.9163844983489753,21.268903837884885,1.957431128493253,165.12662176697435,1.4526042430578696,16.121660338370848,0.14526042430578698
2025-03-25 03:00:00,0.00078,1.200643,1.201423,50968.44205716666,17.9,46,0.0,0,0.0,27.4,222,2025-03-25,3,0.7071067811865475,0.7071067811865476,0.9922222094179323,0.12447926388678915,-0.6691306063588582,-0.7431448254773942,2.5823899999999997,3.918613,80.91157429166667,99.37901863979802,3.305163551905359,21.76975156791892,0.9106691005958626,165.556324737383,2.505287745561622,16.501298943462956,0.2505287745561622
2025-03-25 04:00:00,0.000384,1.81056,1.8109439999999999,51446.15201825,17.8,47,0.0,0,0.0,25.2,220,2025-03-25,4,0.8660254037844386,0.5000000000000001,0.9922222094179323,0.12447926388678915,-0.6427876096865393,-0.766044443118978,1.201423,6.766718,80.79835804166666,99.47204970198639,6.061266240120624,22.620683922588302,1.3726811819895857,167.10802814944117,4.594391713295579,17.14629891607434,0.4594391713295579
2025-03-25 05:00:00,0.000456,0.861201,0.861657,52775.64615883334,17.7,48,0.0,0,0.0,23.7,214,2025-03-25,5,0.9659258262890683,0.25881904510252074,0.9922222094179323,0.12447926388678915,-0.5591929034707467,-0.8290375725550418,1.8109439999999999,2.624556,80.59186745833333,99.63741744840094,8.96124262545743,24.755702658248815,0.6531291686709254,171.4265074827508,6.792550801796391,18.764626176131184,0.6792550801796392
2025-03-25 06:00:00,0.993386,0.53478,1.5281660000000001,54353.957682333334,17.8,48,0.0,0,0.0,23.7,210,2025-03-25,6,1.0,6.123233995736766e-17,0.9922222094179323,0.12447926388678915,-0.5000000000000001,-0.8660254037844386,0.861657,1.284379,80.51841333333333,99.69802651541758,14.249704987195585,16.869837073290405,1.158337701859526,176.5531985208689,10.801163307549283,12.787202637815419,1.0801163307549284
2025-03-25 07:00:00,28.550196,0.59472,29.144916,57024.34277341666,18.3,48,0.0,0,8.0,25.1,212,2025-03-25,7,0.9659258262890683,-0.25881904510252063,0.9922222094179323,0.12447926388678915,-0.5299192642332048,-0.8480480961564261,1.5281660000000001,26.229592,80.528571125,99.68961478232076,30.45328660436032,32.51214007176424,22.09161506035923,185.2271764466096,23.08334959642095,24.643944187517842,2.308334959642095
2025-03-25 08:00:00,92.221251,0.5715,92.792751,56772.99121091666,19.9,46,0.0,0,134.0,26.2,218,2025-03-25,8,0.8660254037844387,-0.49999999999999983,0.9922222094179323,0.12447926388678915,-0.6156614753256578,-0.7880107536067222,29.144916,105.544422,80.65004295833333,99.62232824316159,86.70042137192448,83.55137264455455,70.33616893882157,184.41073318829254,65.71823142394709,63.33127747659755,6.5718231423947095
2025-03-25 09:00:00,157.059513,1.121342,158.180855,53989.533203,21.2,46,0.0,0,342.0,24.5,220,2025-03-25,9,0.7071067811865476,-0.7071067811865475,0.9922222094179323,0.12447926388678915,-0.6427876096865393,-0.766044443118978,92.792751,184.563402,80.11872333333334,99.51773505548395,165.46450552412438,95.46844569440793,119.89983291008627,175.36947041367875,125.4207822109228,72.36432428529454,12.54207822109228
